jobs,lock,runtime_ns
1,alog,1266129
1,alog,1233360
1,alog,1270622
1,alog,1243072
1,alog,1238462
1,alog,1230301
1,alog,1278940
1,alog,1234297
1,alog,1236151
1,alog,1232392
1,alog,1307029
1,alog,1230774
1,alog,1228330
1,alog,1238781
1,alog,1277970
1,alog,1245786
1,alog,1236616
1,alog,1241238
1,alog,1290008
1,alog,1234801
1,alog,1238852
1,alog,1235042
1,alog,1264351
1,alog,1233008
1,alog,1238207
1,alog,1247029
1,alog,1279397
1,alog,1237783
1,alog,1249853
1,alog,1229762
1,alog,1271033
1,alog,1233850
1,alog,1228991
1,alog,1237125
1,alog,1249411
1,alog,1253631
1,alog,1230521
1,alog,1237518
1,alog,1257801
1,alog,1258676
1,alog,1233820
1,alog,1233376
1,alog,1231723
1,alog,1219672
1,alog,1229909
1,alog,1237874
1,alog,1241283
1,alog,1310391
1,alog,1264409
1,alog,1262000
2,alog,22770077
2,alog,24981079
2,alog,31393387
2,alog,32271217
2,alog,34021321
2,alog,27377950
2,alog,22655865
2,alog,22645280
2,alog,22502210
2,alog,19808246
2,alog,21001101
2,alog,20623930
2,alog,20311826
2,alog,21362911
2,alog,20157694
2,alog,21205589
2,alog,19976453
2,alog,20477779
2,alog,20204857
2,alog,19602781
2,alog,21508517
2,alog,20115453
2,alog,22343979
2,alog,18905424
2,alog,20782520
2,alog,18729377
2,alog,21162217
2,alog,18746320
2,alog,21274088
2,alog,19024247
2,alog,20539027
2,alog,20385245
2,alog,21358383
2,alog,20513011
2,alog,19949703
2,alog,22398421
2,alog,20235719
2,alog,21526936
2,alog,19016829
2,alog,21378898
2,alog,19872854
2,alog,20136271
2,alog,21078301
2,alog,20081742
2,alog,20163847
2,alog,20041753
2,alog,21150391
2,alog,20335236
2,alog,20710261
2,alog,20225267
4,alog,50726289
4,alog,48310266
4,alog,49435087
4,alog,49085795
4,alog,49933593
4,alog,48654262
4,alog,49815052
4,alog,48477750
4,alog,49526847
4,alog,49121335
4,alog,49295048
4,alog,49150234
4,alog,47884358
4,alog,48933432
4,alog,49106064
4,alog,48374490
4,alog,48063511
4,alog,46460383
4,alog,47585827
4,alog,47644523
4,alog,46026515
4,alog,47763307
4,alog,48861555
4,alog,48304360
4,alog,46828179
4,alog,48871475
4,alog,48441746
4,alog,48308579
4,alog,50124182
4,alog,48559312
4,alog,48028544
4,alog,47628909
4,alog,48618403
4,alog,48518375
4,alog,49040258
4,alog,47768811
4,alog,49074493
4,alog,48324040
4,alog,49658738
4,alog,47610663
4,alog,48837117
4,alog,49078136
4,alog,47654372
4,alog,49955409
4,alog,47449532
4,alog,49356671
4,alog,47944226
4,alog,48284831
4,alog,48662488
4,alog,48669771
6,alog,83358011
6,alog,82501889
6,alog,83549556
6,alog,84615789
6,alog,84620785
6,alog,82820560
6,alog,82613043
6,alog,81452682
6,alog,83199639
6,alog,81495183
6,alog,81778206
6,alog,84347824
6,alog,83835669
6,alog,82662532
6,alog,82699167
6,alog,81953201
6,alog,80033017
6,alog,81209801
6,alog,81589561
6,alog,83345415
6,alog,81565266
6,alog,83684652
6,alog,84290977
6,alog,82691431
6,alog,82675736
6,alog,82586759
6,alog,80410683
6,alog,82707142
6,alog,83105483
6,alog,83380515
6,alog,82693926
6,alog,81499307
6,alog,82073907
6,alog,82696818
6,alog,84535657
6,alog,82779367
6,alog,82550323
6,alog,82680835
6,alog,83282588
6,alog,83088041
6,alog,82578004
6,alog,84849662
6,alog,83621682
6,alog,81112129
6,alog,79734215
6,alog,83243705
6,alog,83992004
6,alog,83953391
6,alog,83612824
6,alog,81108195
8,alog,108823223
8,alog,109498591
8,alog,107210180
8,alog,108114439
8,alog,107803912
8,alog,107518255
8,alog,107234929
8,alog,110542232
8,alog,109486942
8,alog,107729307
8,alog,106786230
8,alog,117208338
8,alog,149301252
8,alog,107113463
8,alog,110272356
8,alog,108449638
8,alog,109590733
8,alog,107624983
8,alog,108560606
8,alog,108647939
8,alog,109483078
8,alog,105843278
8,alog,106533007
8,alog,110083285
8,alog,107169318
8,alog,110560960
8,alog,107332418
8,alog,108668069
8,alog,107911043
8,alog,110223585
8,alog,105739549
8,alog,109119405
8,alog,107649467
8,alog,108150765
8,alog,108868170
8,alog,107502985
8,alog,108636656
8,alog,109061149
8,alog,108553880
8,alog,109912360
8,alog,108401881
8,alog,110211459
8,alog,106655701
8,alog,109978092
8,alog,108503029
8,alog,107285572
8,alog,109312704
8,alog,109057817
8,alog,108509316
8,alog,109036092
10,alog,132405324
10,alog,131501908
10,alog,135911461
10,alog,134510191
10,alog,133599481
10,alog,132772776
10,alog,135442655
10,alog,135615565
10,alog,136853053
10,alog,133807697
10,alog,132665935
10,alog,133345895
10,alog,132425805
10,alog,133187207
10,alog,135270044
10,alog,135669558
10,alog,135330078
10,alog,134026386
10,alog,133990632
10,alog,135862719
10,alog,133712368
10,alog,133518529
10,alog,134092690
10,alog,132445652
10,alog,133474268
10,alog,132150386
10,alog,132480643
10,alog,133395361
10,alog,133622876
10,alog,133495505
10,alog,133778650
10,alog,132943956
10,alog,134181358
10,alog,134233881
10,alog,135823352
10,alog,133097079
10,alog,135460184
10,alog,129842013
10,alog,134658756
10,alog,133988491
10,alog,132574519
10,alog,132502722
10,alog,134011272
10,alog,133802555
10,alog,133561452
10,alog,131186789
10,alog,134723374
10,alog,133848121
10,alog,135593148
10,alog,131864289
