jobs,lock,runtime_ns
1,aq,2743820
1,aq,2642211
1,aq,2674837
1,aq,2719449
1,aq,2720642
1,aq,2671112
1,aq,2688606
1,aq,2649487
1,aq,2610454
1,aq,2586545
1,aq,2572137
1,aq,2581200
1,aq,2589723
1,aq,2573853
1,aq,2587853
1,aq,2572936
1,aq,2614500
1,aq,2572626
1,aq,2632144
1,aq,2575491
1,aq,2573497
1,aq,2579493
1,aq,2574721
1,aq,2575082
1,aq,2611955
1,aq,2577157
1,aq,2579300
1,aq,2611202
1,aq,2573493
1,aq,2589040
1,aq,2612963
1,aq,2575375
1,aq,2573312
1,aq,2573985
1,aq,2576393
1,aq,2583156
1,aq,2629585
1,aq,2577654
1,aq,2612798
1,aq,2586062
1,aq,2652722
1,aq,2621883
1,aq,2626631
1,aq,2667203
1,aq,2612190
1,aq,2673141
1,aq,2612658
1,aq,2617996
1,aq,2676232
1,aq,2650495
2,aq,26943926
2,aq,24340944
2,aq,26371078
2,aq,26066528
2,aq,25770269
2,aq,25512026
2,aq,26729400
2,aq,23700196
2,aq,26392143
2,aq,26059584
2,aq,26639843
2,aq,25651099
2,aq,26223210
2,aq,23442699
2,aq,26667642
2,aq,26099667
2,aq,28691146
2,aq,22211671
2,aq,28714171
2,aq,22199251
2,aq,27322565
2,aq,21834869
2,aq,28488895
2,aq,21167431
2,aq,28697465
2,aq,23017670
2,aq,28773961
2,aq,22201866
2,aq,27961140
2,aq,20970175
2,aq,27972459
2,aq,21979258
2,aq,28700765
2,aq,21003436
2,aq,28242796
2,aq,23262192
2,aq,27865119
2,aq,21093743
2,aq,28602308
2,aq,26374010
2,aq,25597009
2,aq,28057121
2,aq,22073383
2,aq,28363592
2,aq,22269389
2,aq,28579473
2,aq,22006282
2,aq,27985904
2,aq,21550913
2,aq,28716736
4,aq,53572179
4,aq,52797121
4,aq,54290691
4,aq,54993094
4,aq,55064966
4,aq,54515536
4,aq,52881779
4,aq,53923014
4,aq,53539340
4,aq,54056566
4,aq,54594568
4,aq,53676282
4,aq,54699706
4,aq,53869059
4,aq,52565516
4,aq,52328344
4,aq,53342271
4,aq,53390486
4,aq,51334512
4,aq,54140377
4,aq,54888112
4,aq,53858004
4,aq,54991585
4,aq,53590013
4,aq,54006862
4,aq,53420747
4,aq,54714829
4,aq,54207382
4,aq,53827979
4,aq,54347945
4,aq,54092149
4,aq,54344005
4,aq,54602948
4,aq,54528939
4,aq,52861618
4,aq,54482117
4,aq,54288591
4,aq,54699468
4,aq,54418026
4,aq,54203926
4,aq,54550184
4,aq,53289057
4,aq,53749309
4,aq,54339686
4,aq,53977543
4,aq,54153975
4,aq,52826931
4,aq,53960371
4,aq,52896004
4,aq,54991718
6,aq,87617470
6,aq,87791367
6,aq,87217472
6,aq,87310952
6,aq,86573510
6,aq,87751257
6,aq,87586498
6,aq,87070285
6,aq,86351254
6,aq,87628970
6,aq,86867296
6,aq,87151616
6,aq,87550876
6,aq,87654300
6,aq,87679663
6,aq,87529339
6,aq,86999844
6,aq,86807187
6,aq,87667523
6,aq,86680263
6,aq,87339336
6,aq,87063992
6,aq,86126097
6,aq,87809583
6,aq,87613259
6,aq,87240815
6,aq,87858624
6,aq,87281542
6,aq,86038211
6,aq,86520276
6,aq,87297251
6,aq,87957362
6,aq,87212173
6,aq,139942558
6,aq,88153136
6,aq,87085016
6,aq,87996173
6,aq,86982394
6,aq,88241180
6,aq,87217531
6,aq,86907965
6,aq,87149399
6,aq,88010638
6,aq,87384496
6,aq,87035327
6,aq,87605736
6,aq,87501371
6,aq,87245298
6,aq,87566791
6,aq,87960004
8,aq,109831718
8,aq,108695118
8,aq,113700535
8,aq,107184947
8,aq,114739985
8,aq,107712296
8,aq,111459343
8,aq,102484510
8,aq,109723355
8,aq,108804981
8,aq,108011736
8,aq,112539407
8,aq,113620794
8,aq,115741853
8,aq,108264520
8,aq,112073426
8,aq,115058364
8,aq,107648521
8,aq,114517803
8,aq,106011851
8,aq,114533041
8,aq,113086567
8,aq,115854035
8,aq,112136194
8,aq,114206089
8,aq,106546079
8,aq,112508137
8,aq,110488947
8,aq,114217997
8,aq,113830304
8,aq,113481186
8,aq,112865522
8,aq,106926707
8,aq,111941541
8,aq,110124326
8,aq,112560839
8,aq,117038629
8,aq,113970143
8,aq,107083546
8,aq,115713861
8,aq,110010365
8,aq,115312933
8,aq,108934762
8,aq,106217027
8,aq,114378826
8,aq,108631022
8,aq,112885611
8,aq,110485413
8,aq,116697363
8,aq,112570945
10,aq,143294346
10,aq,144138546
10,aq,141017668
10,aq,134414278
10,aq,142414219
10,aq,141461275
10,aq,127607590
10,aq,133731326
10,aq,134194351
10,aq,139354960
10,aq,143945284
10,aq,131809947
10,aq,140588649
10,aq,128709085
10,aq,136561701
10,aq,143311726
10,aq,132334934
10,aq,139833888
10,aq,139722133
10,aq,139673767
10,aq,130592538
10,aq,140132021
10,aq,142052643
10,aq,133716758
10,aq,139782440
10,aq,140781884
10,aq,143904118
10,aq,142558215
10,aq,142405739
10,aq,144759099
10,aq,126700551
10,aq,137772223
10,aq,139009161
10,aq,133923912
10,aq,131713979
10,aq,145548147
10,aq,142052243
10,aq,144292990
10,aq,140502549
10,aq,137466320
10,aq,142601007
10,aq,140075607
10,aq,134998663
10,aq,137233434
10,aq,138355385
10,aq,133236389
10,aq,129653850
10,aq,138941370
10,aq,140129027
10,aq,145328264
