jobs,lock,runtime_ns
1,atomic,732809
1,atomic,694193
1,atomic,646515
1,atomic,676331
1,atomic,704617
1,atomic,625628
1,atomic,686763
1,atomic,684237
1,atomic,594165
1,atomic,698102
1,atomic,694870
1,atomic,625498
1,atomic,674811
1,atomic,677419
1,atomic,664424
1,atomic,685943
1,atomic,705077
1,atomic,665688
1,atomic,627671
1,atomic,695845
1,atomic,613904
1,atomic,691387
1,atomic,700918
1,atomic,613843
1,atomic,683722
1,atomic,699514
1,atomic,673761
1,atomic,694745
1,atomic,704445
1,atomic,693782
1,atomic,705670
1,atomic,701966
1,atomic,747678
1,atomic,724114
1,atomic,754017
1,atomic,758605
1,atomic,754615
1,atomic,753440
1,atomic,728777
1,atomic,824398
1,atomic,816468
1,atomic,813323
1,atomic,816920
1,atomic,840441
1,atomic,814338
1,atomic,890351
1,atomic,887522
1,atomic,888490
1,atomic,899239
1,atomic,891788
2,atomic,26135573
2,atomic,15651979
2,atomic,7323554
2,atomic,5155421
2,atomic,5248745
2,atomic,5359672
2,atomic,5161833
2,atomic,5106411
2,atomic,4438585
2,atomic,5317193
2,atomic,5357633
2,atomic,5214484
2,atomic,5365143
2,atomic,5366173
2,atomic,5393460
2,atomic,5243871
2,atomic,5274012
2,atomic,5027313
2,atomic,4536273
2,atomic,5112228
2,atomic,5452541
2,atomic,5010622
2,atomic,5841334
2,atomic,4768305
2,atomic,5532418
2,atomic,5253198
2,atomic,5240967
2,atomic,5383699
2,atomic,5650193
2,atomic,5416961
2,atomic,5393406
2,atomic,5227426
2,atomic,5820381
2,atomic,4927483
2,atomic,5512076
2,atomic,4781149
2,atomic,5505557
2,atomic,4907306
2,atomic,4961628
2,atomic,4609248
2,atomic,5694504
2,atomic,5070336
2,atomic,5457157
2,atomic,4988844
2,atomic,5283980
2,atomic,4881283
2,atomic,5622424
2,atomic,5258300
2,atomic,5606489
2,atomic,5397703
4,atomic,33821968
4,atomic,14462864
4,atomic,10711587
4,atomic,9993502
4,atomic,10027629
4,atomic,10325952
4,atomic,9983351
4,atomic,9982070
4,atomic,9922056
4,atomic,10078660
4,atomic,10230841
4,atomic,9819247
4,atomic,9948405
4,atomic,10022141
4,atomic,9990172
4,atomic,10125289
4,atomic,10139178
4,atomic,10110802
4,atomic,9872931
4,atomic,9948704
4,atomic,9903689
4,atomic,10218888
4,atomic,10101470
4,atomic,9954020
4,atomic,10179187
4,atomic,10040432
4,atomic,10129170
4,atomic,9951927
