jobs,lock,runtime_ns
1,backoff-1-64,1471435
1,backoff-1-64,1459745
1,backoff-1-64,1391270
1,backoff-1-64,1439441
1,backoff-1-64,1503088
1,backoff-1-64,1462034
1,backoff-1-64,1502739
1,backoff-1-64,1462140
1,backoff-1-64,1501572
1,backoff-1-64,1465016
1,backoff-1-64,1518959
1,backoff-1-64,1463482
1,backoff-1-64,1467237
1,backoff-1-64,1477980
1,backoff-1-64,1483774
1,backoff-1-64,1451212
1,backoff-1-64,1490471
1,backoff-1-64,1449150
1,backoff-1-64,1496572
1,backoff-1-64,1453378
1,backoff-1-64,1442338
1,backoff-1-64,1441918
1,backoff-1-64,1527640
1,backoff-1-64,1453092
1,backoff-1-64,1463046
1,backoff-1-64,1470012
1,backoff-1-64,1449498
1,backoff-1-64,1503720
1,backoff-1-64,1446727
1,backoff-1-64,1483485
1,backoff-1-64,1449102
1,backoff-1-64,1491380
1,backoff-1-64,1448582
1,backoff-1-64,1423260
1,backoff-1-64,1457204
1,backoff-1-64,1412002
1,backoff-1-64,1457482
1,backoff-1-64,1449539
1,backoff-1-64,1484845
1,backoff-1-64,1445968
1,backoff-1-64,1425044
1,backoff-1-64,1409998
1,backoff-1-64,1449713
1,backoff-1-64,1410688
1,backoff-1-64,1410690
1,backoff-1-64,1468416
1,backoff-1-64,1420603
1,backoff-1-64,1411859
1,backoff-1-64,1462553
1,backoff-1-64,1419499
2,backoff-1-64,11578355
2,backoff-1-64,12212211
2,backoff-1-64,13105102
2,backoff-1-64,12309961
2,backoff-1-64,11336841
2,backoff-1-64,11971568
2,backoff-1-64,11196641
2,backoff-1-64,11371457
2,backoff-1-64,11245349
2,backoff-1-64,12032177
2,backoff-1-64,11127470
2,backoff-1-64,17034219
2,backoff-1-64,11456619
2,backoff-1-64,16631681
2,backoff-1-64,11200027
2,backoff-1-64,16612781
2,backoff-1-64,11142926
2,backoff-1-64,16595736
2,backoff-1-64,11383666
2,backoff-1-64,12318404
2,backoff-1-64,13226093
2,backoff-1-64,11618305
2,backoff-1-64,11707074
2,backoff-1-64,11638587
2,backoff-1-64,11796543
2,backoff-1-64,13226386
2,backoff-1-64,12041132
2,backoff-1-64,11288429
2,backoff-1-64,11821107
2,backoff-1-64,11464169
2,backoff-1-64,11890635
2,backoff-1-64,11804449
2,backoff-1-64,12039300
2,backoff-1-64,11446400
2,backoff-1-64,13380960
2,backoff-1-64,11900487
2,backoff-1-64,11991343
2,backoff-1-64,13239624
2,backoff-1-64,11965958
