jobs,lock,runtime_ns
1,mcs,1626252
1,mcs,1487197
1,mcs,1561993
1,mcs,1517397
1,mcs,1589211
1,mcs,1533833
1,mcs,1549640
1,mcs,1554793
1,mcs,1558369
1,mcs,1549127
1,mcs,1548475
1,mcs,1564304
1,mcs,1547154
1,mcs,1550578
1,mcs,1559015
1,mcs,1550584
1,mcs,1558103
1,mcs,1547268
1,mcs,1558487
1,mcs,1546753
1,mcs,1555028
1,mcs,1556600
1,mcs,1550532
1,mcs,1567006
1,mcs,1556632
1,mcs,1548593
1,mcs,1547669
1,mcs,1552446
1,mcs,1546057
1,mcs,1556607
1,mcs,1550751
1,mcs,1551954
1,mcs,1548215
1,mcs,1532350
1,mcs,1549729
1,mcs,1547482
1,mcs,1552587
1,mcs,1554490
1,mcs,1550645
1,mcs,1628689
1,mcs,1664488
1,mcs,1665750
1,mcs,1667251
1,mcs,1666428
1,mcs,1699091
1,mcs,1801767
1,mcs,1798055
1,mcs,1801458
1,mcs,1800088
1,mcs,1839438
2,mcs,32945784
2,mcs,34702517
2,mcs,35295990
2,mcs,26800157
2,mcs,24244332
2,mcs,23991302
2,mcs,24304466
2,mcs,23436357
2,mcs,24334748
2,mcs,23764832
2,mcs,24065664
2,mcs,23919621
2,mcs,23531368
2,mcs,23110608
2,mcs,24425578
2,mcs,22851988
2,mcs,24157307
2,mcs,23784194
2,mcs,23391662
2,mcs,23532063
2,mcs,25714873
2,mcs,22180392
2,mcs,23591765
2,mcs,24275991
2,mcs,22682640
2,mcs,22832675
2,mcs,22558372
2,mcs,22785869
2,mcs,22868154
2,mcs,22985191
2,mcs,23011458
2,mcs,23095156
2,mcs,22764214
2,mcs,24521161
2,mcs,22569136
2,mcs,23042143
2,mcs,22647397
2,mcs,22701497
2,mcs,24275731
2,mcs,23954494
2,mcs,23507893
2,mcs,24050344
2,mcs,22404655
2,mcs,22844059
2,mcs,22611482
2,mcs,22787420
2,mcs,22016529
2,mcs,23752610
2,mcs,24958140
2,mcs,23776417
4,mcs,45635769
4,mcs,44284375
4,mcs,45405657
4,mcs,42062939
4,mcs,41941734
4,mcs,42948598
4,mcs,44348805
4,mcs,43056179
4,mcs,44490509
4,mcs,41768833
4,mcs,43396971
4,mcs,41731395
4,mcs,43074606
4,mcs,42107371
4,mcs,43724911
4,mcs,42898284
4,mcs,43576551
4,mcs,42561024
4,mcs,42310822
4,mcs,42928424
4,mcs,45466264
4,mcs,42633243
4,mcs,42329408
4,mcs,43269606
4,mcs,42558668
4,mcs,44466556
4,mcs,43588108
4,mcs,44263091
4,mcs,43349540
4,mcs,43464311
4,mcs,42998932
4,mcs,44213249
4,mcs,43081815
4,mcs,43624177
4,mcs,42950528
4,mcs,44120895
4,mcs,43069148
4,mcs,45167761
4,mcs,51947124
4,mcs,46647129
4,mcs,45589296
4,mcs,44989498
4,mcs,45475755
4,mcs,45187374
4,mcs,45067076
4,mcs,44885470
4,mcs,45437256
4,mcs,44747400
4,mcs,45898463
4,mcs,44894200
6,mcs,74723458
6,mcs,74931220
6,mcs,74915804
6,mcs,74468820
6,mcs,74953143
6,mcs,75013892
6,mcs,74683213
6,mcs,74577345
6,mcs,75137815
6,mcs,75653783
6,mcs,74966451
6,mcs,75612020
6,mcs,74705897
6,mcs,75108314
6,mcs,75457377
6,mcs,75595163
6,mcs,75254127
6,mcs,75903158
6,mcs,75240717
6,mcs,75553644
6,mcs,75524040
6,mcs,75133200
6,mcs,75012360
6,mcs,75264269
6,mcs,75379175
6,mcs,75392571
6,mcs,75216400
6,mcs,74881989
6,mcs,75136147
6,mcs,74318120
6,mcs,74719925
6,mcs,74623010
6,mcs,73899834
6,mcs,75275295
6,mcs,74741934
6,mcs,75427649
6,mcs,73081211
6,mcs,74718273
6,mcs,74577046
6,mcs,74537257
6,mcs,74781055
6,mcs,75750637
6,mcs,74238016
6,mcs,75197231
6,mcs,74859845
6,mcs,75345584
6,mcs,75328787
6,mcs,75501593
6,mcs,74670601
6,mcs,74810314
8,mcs,100898514
8,mcs,96622731
8,mcs,96987602
8,mcs,91318952
8,mcs,95835070
8,mcs,94835099
8,mcs,95773175
8,mcs,90059144
8,mcs,95240493
8,mcs,96040209
8,mcs,94844820
8,mcs,94416958
8,mcs,91341806
8,mcs,96628568
8,mcs,93318265
8,mcs,92628996
8,mcs,95787097
8,mcs,94663213
8,mcs,90647981
8,mcs,93806349
8,mcs,97996455
8,mcs,99816409
8,mcs,94985275
8,mcs,95728758
8,mcs,97261858
8,mcs,96822489
8,mcs,95569070
8,mcs,96179356
8,mcs,95824418
8,mcs,93172905
8,mcs,98537513
8,mcs,96832781
8,mcs,90591687
8,mcs,98558477
8,mcs,91242715
8,mcs,98606669
8,mcs,95457349
8,mcs,90469512
8,mcs,94305941
8,mcs,94925883
8,mcs,96960614
8,mcs,93137239
8,mcs,92847868
8,mcs,95059511
8,mcs,95237308
8,mcs,98432975
8,mcs,97261055
8,mcs,97498276
8,mcs,101004280
8,mcs,93236686
10,mcs,122186837
10,mcs,123595900
10,mcs,114452294
10,mcs,122372754
10,mcs,127442449
10,mcs,118405086
10,mcs,118762333
10,mcs,109208703
10,mcs,118158070
10,mcs,116616255
10,mcs,118257518
10,mcs,123373403
10,mcs,115453758
10,mcs,112740081
10,mcs,119404347
10,mcs,107058828
10,mcs,120667759
10,mcs,116158429
10,mcs,111154123
10,mcs,126578338
10,mcs,126349647
10,mcs,114465045
10,mcs,128529669
10,mcs,123575928
10,mcs,128378938
10,mcs,117603973
10,mcs,125605005
10,mcs,112350040
10,mcs,114507928
10,mcs,126512443
10,mcs,128672313
10,mcs,116306005
10,mcs,121480864
10,mcs,125449455
10,mcs,122226079
10,mcs,129635609
10,mcs,123153582
10,mcs,112816920
10,mcs,116926673
10,mcs,122605485
10,mcs,131482849
10,mcs,125123443
10,mcs,127654922
10,mcs,127543783
10,mcs,124007107
10,mcs,124883012
10,mcs,129915398
10,mcs,108402750
10,mcs,111629066
10,mcs,118581320
