jobs,lock,runtime_ns
1,tas,1283244
1,tas,1247705
1,tas,1305277
1,tas,1258759
1,tas,1258346
1,tas,1263764
1,tas,1305436
1,tas,1289899
1,tas,1248165
1,tas,1346769
1,tas,1289042
1,tas,1263050
1,tas,1281383
1,tas,1350936
1,tas,1259784
1,tas,1261418
1,tas,1306661
1,tas,1270126
1,tas,1262480
1,tas,1262186
1,tas,1310057
1,tas,1266511
1,tas,1263465
1,tas,1268507
1,tas,1292549
1,tas,1265951
1,tas,1229032
1,tas,1317584
1,tas,1281504
1,tas,1269888
1,tas,1270693
1,tas,1306796
1,tas,1281747
1,tas,1266044
1,tas,1303029
1,tas,1264438
1,tas,1287739
1,tas,1291438
1,tas,1264862
1,tas,1268603
1,tas,1230565
1,tas,1267549
1,tas,1266077
1,tas,1259535
1,tas,1227520
1,tas,1300767
1,tas,1267621
1,tas,1294822
1,tas,1264895
1,tas,1302345
2,tas,16853987
2,tas,18036690
2,tas,17752765
2,tas,19322016
2,tas,17653335
2,tas,19399213
2,tas,17558311
2,tas,19391084
2,tas,17506281
2,tas,19416100
2,tas,16158253
2,tas,17418050
2,tas,16058354
2,tas,17696687
2,tas,16055579
2,tas,17649934
2,tas,16480852
2,tas,17555023
2,tas,16398870
2,tas,17804235
2,tas,15726475
2,tas,14736791
2,tas,16013740
2,tas,14746500
2,tas,16079297
2,tas,14670603
2,tas,15804167
2,tas,14844039
2,tas,14841476
2,tas,15537603
2,tas,17486307
2,tas,16123949
2,tas,17575956
2,tas,15946316
2,tas,17695461
2,tas,16074342
2,tas,15168890
2,tas,15000570
2,tas,15845544
2,tas,14887722
2,tas,15812045
2,tas,14970054
2,tas,15674936
2,tas,15056465
2,tas,14782530
2,tas,14792386
2,tas,14701389
2,tas,15262665
2,tas,14766207
2,tas,15619697
4,tas,65792603
4,tas,76288102
4,tas,66517680
4,tas,74245220
4,tas,65945503
4,tas,74874713
4,tas,66058190
4,tas,71589891
4,tas,66451012
4,tas,72755614
4,tas,67924936
4,tas,81511523
4,tas,66801477
4,tas,74214990
4,tas,66635312
4,tas,71127512
4,tas,70703531
4,tas,81761206
4,tas,70295488
4,tas,82416431
4,tas,70009705
4,tas,82343530
4,tas,66681361
4,tas,79850126
4,tas,72470082
4,tas,72615637
4,tas,65739514
4,tas,72195800
4,tas,70732206
4,tas,73589875
4,tas,73400335
4,tas,73151423
4,tas,72626909
4,tas,72723949
4,tas,65080769
4,tas,72324747
4,tas,66482843
4,tas,73421022
4,tas,66786499
4,tas,73544999
4,tas,70606265
4,tas,73828444
4,tas,72461486
4,tas,72686433
4,tas,71559746
4,tas,73109043
4,tas,72606528
4,tas,67168797
4,tas,71807275
4,tas,66998084
6,tas,224099765
6,tas,230735471
6,tas,224774472
6,tas,305965665
6,tas,248733696
6,tas,249284801
6,tas,241501889
6,tas,233178820
6,tas,236880307
6,tas,229774754
6,tas,227529717
6,tas,265019645
6,tas,258232867
6,tas,228432999
6,tas,228201763
6,tas,229674814
6,tas,306282742
6,tas,231002216
6,tas,227513676
6,tas,232675193
6,tas,226091281
6,tas,228827830
6,tas,232722981
6,tas,229976278
6,tas,229219155
6,tas,311734144
6,tas,222399258
6,tas,260455132
6,tas,230897194
6,tas,229132654
6,tas,227092697
6,tas,225261534
6,tas,240911459
6,tas,239370377
6,tas,227378550
6,tas,261423627
6,tas,238582376
6,tas,227428751
6,tas,227162966
6,tas,304439067
6,tas,227489253
6,tas,221189876
6,tas,189148789
6,tas,228057870
6,tas,250704032
6,tas,230562888
6,tas,241196658
6,tas,230311992
6,tas,309603792
6,tas,255876734
8,tas,536470092
8,tas,256176961
8,tas,270800619
8,tas,637079952
8,tas,252657377
8,tas,561002907
8,tas,248737879
8,tas,259398439
8,tas,255155078
8,tas,295695826
8,tas,330633227
8,tas,285982684
8,tas,303837672
8,tas,274434685
8,tas,574215024
8,tas,530828805
8,tas,308674707
8,tas,537808597
8,tas,631124289
8,tas,308241246
8,tas,249708598
8,tas,263224636
8,tas,303014934
8,tas,264334004
8,tas,263769543
8,tas,328942375
8,tas,281631376
8,tas,414387024
8,tas,262113630
8,tas,258777053
8,tas,273676298
8,tas,250831517
8,tas,244229716
8,tas,264133629
8,tas,270717056
8,tas,288498217
8,tas,246911707
8,tas,532780631
8,tas,526766552
8,tas,263318746
8,tas,300816329
8,tas,375635321
8,tas,265493187
8,tas,305834841
8,tas,272101939
8,tas,515531730
8,tas,260239042
8,tas,244125331
8,tas,249734972
8,tas,513893663
10,tas,557742950
10,tas,478435750
10,tas,627648311
10,tas,542433225
10,tas,635615904
10,tas,446673559
10,tas,696671638
10,tas,471539326
10,tas,612052429
10,tas,608476798
10,tas,672500438
10,tas,541460242
10,tas,699085985
10,tas,445690598
10,tas,608135692
10,tas,526932660
10,tas,510188243
10,tas,436872254
10,tas,532766508
10,tas,563656675
10,tas,468806249
10,tas,610406111
10,tas,573355625
10,tas,472293382
10,tas,520504207
10,tas,499259569
10,tas,625517795
10,tas,510231310
10,tas,561222635
10,tas,469889570
10,tas,585715168
10,tas,410031019
10,tas,544855625
10,tas,468826642
10,tas,448982594
10,tas,546840568
10,tas,555815720
10,tas,555444993
10,tas,650172359
10,tas,471041269
10,tas,649798293
10,tas,636048140
10,tas,527436520
10,tas,619057684
10,tas,491060002
10,tas,645632576
10,tas,575940768
10,tas,620726859
10,tas,459548345
10,tas,458713121
