jobs,lock,runtime_ns
1,ttas,1538848
1,ttas,1459179
1,ttas,1496612
1,ttas,1460209
1,ttas,1498695
1,ttas,1457845
1,ttas,1421018
1,ttas,1423771
1,ttas,1421286
1,ttas,1413744
1,ttas,1421525
1,ttas,1428064
1,ttas,1422048
1,ttas,1418869
1,ttas,1421741
1,ttas,1388355
1,ttas,1419769
1,ttas,1423373
1,ttas,1420534
1,ttas,1420345
1,ttas,1438916
1,ttas,1420929
1,ttas,1423655
1,ttas,1438048
1,ttas,1420018
1,ttas,1461789
1,ttas,1418078
1,ttas,1395730
1,ttas,1458776
1,ttas,1423623
1,ttas,1388704
1,ttas,1460817
1,ttas,1420638
1,ttas,1417362
1,ttas,1480005
1,ttas,1520785
1,ttas,1520660
1,ttas,1546529
1,ttas,1520496
1,ttas,1528176
1,ttas,1612888
1,ttas,1639833
1,ttas,1625458
1,ttas,1642879
1,ttas,1641109
1,ttas,1665474
1,ttas,1783977
1,ttas,1791705
1,ttas,1780908
1,ttas,1792508
2,ttas,29371130
2,ttas,19954701
2,ttas,24255086
2,ttas,18724368
2,ttas,17037939
2,ttas,13855391
2,ttas,16917211
2,ttas,12751065
2,ttas,13063466
2,ttas,13681953
2,ttas,15326395
2,ttas,14014605
2,ttas,16528477
2,ttas,13872135
2,ttas,16915670
2,ttas,13764317
2,ttas,15522788
2,ttas,13857845
2,ttas,19012184
2,ttas,13642684
2,ttas,12861752
2,ttas,13954951
2,ttas,14096423
2,ttas,13916116
2,ttas,16898530
2,ttas,13825081
2,ttas,16665380
2,ttas,13984737
2,ttas,16860712
2,ttas,13922406
2,ttas,16917428
2,ttas,11961256
2,ttas,15733955
2,ttas,13863255
2,ttas,14120508
2,ttas,14640308
2,ttas,12972829
2,ttas,14752376
2,ttas,13037998
2,ttas,14964050
2,ttas,13596370
2,ttas,14201053
2,ttas,15103661
2,ttas,14029879
2,ttas,15163879
2,ttas,14027506
2,ttas,16755309
2,ttas,13952977
2,ttas,14291785
2,ttas,17246968
4,ttas,50332560
4,ttas,48348124
4,ttas,50164372
4,ttas,48528750
4,ttas,51239021
4,ttas,47922951
4,ttas,49619612
4,ttas,53985739
4,ttas,49720052
4,ttas,50269358
4,ttas,48213707
4,ttas,51209760
4,ttas,52559630
4,ttas,49509182
4,ttas,54404258
4,ttas,50065933
4,ttas,54224875
4,ttas,49993048
4,ttas,49960275
4,ttas,50045299
4,ttas,48589276
4,ttas,51271091
4,ttas,49374166
4,ttas,50401056
4,ttas,48397193
4,ttas,50182612
4,ttas,53240564
4,ttas,50759899
4,ttas,54666256
4,ttas,48859919
4,ttas,47864770
4,ttas,49856939
4,ttas,47654678
4,ttas,49602597
4,ttas,49498640
4,ttas,49574298
4,ttas,52837968
4,ttas,47590759
4,ttas,51334304
4,ttas,52132905
4,ttas,47528191
4,ttas,49968420
4,ttas,47877668
4,ttas,47705394
4,ttas,48634697
4,ttas,51467653
4,ttas,48231216
4,ttas,48229946
4,ttas,51100602
4,ttas,52815048
6,ttas,74341732
6,ttas,74251776
6,ttas,74353980
6,ttas,74575141
6,ttas,74501419
6,ttas,74075911
6,ttas,74194618
6,ttas,74430125
6,ttas,74173073
6,ttas,74284184
6,ttas,74135427
6,ttas,74374963
6,ttas,74584633
6,ttas,74624067
6,ttas,74302310
6,ttas,74019590
6,ttas,74242702
6,ttas,74414236
6,ttas,74121617
6,ttas,74027898
6,ttas,74416015
6,ttas,74343101
6,ttas,74446420
6,ttas,74427890
6,ttas,73839272
6,ttas,74277221
6,ttas,74362338
6,ttas,73820323
6,ttas,74125909
6,ttas,74165982
6,ttas,74630516
6,ttas,74229954
6,ttas,74272125
6,ttas,74230123
6,ttas,74007754
6,ttas,74322154
6,ttas,74015990
6,ttas,74300259
6,ttas,74642528
6,ttas,74838964
6,ttas,74248298
6,ttas,74462213
6,ttas,74352120
6,ttas,74404272
6,ttas,74548063
6,ttas,74596572
6,ttas,74234404
6,ttas,74117316
6,ttas,74505379
6,ttas,74601414
8,ttas,139494342
8,ttas,140026797
8,ttas,139729195
8,ttas,139386579
8,ttas,139428496
8,ttas,140919609
8,ttas,140313271
8,ttas,142975086
8,ttas,141357356
8,ttas,138621277
8,ttas,141810843
8,ttas,139239020
8,ttas,141190542
8,ttas,138828943
8,ttas,141106517
8,ttas,138643738
8,ttas,142114734
8,ttas,137891363
8,ttas,141179560
8,ttas,138344246
8,ttas,141116440
8,ttas,137947052
8,ttas,141154392
8,ttas,140585309
8,ttas,138721474
8,ttas,141094576
8,ttas,138525373
8,ttas,140920851
8,ttas,139605125
8,ttas,138793832
8,ttas,141767032
8,ttas,141519514
8,ttas,138615539
8,ttas,140302220
8,ttas,139184529
8,ttas,139342410
8,ttas,141471789
8,ttas,138193258
8,ttas,140802736
8,ttas,138072752
8,ttas,141362083
8,ttas,137932236
8,ttas,141009815
8,ttas,138861632
8,ttas,141282097
8,ttas,141261957
8,ttas,138392646
8,ttas,141133790
8,ttas,138557433
8,ttas,141448501
10,ttas,199895242
10,ttas,200760167
10,ttas,200702343
10,ttas,200335690
10,ttas,201158626
10,ttas,199855823
10,ttas,204639597
10,ttas,201295620
10,ttas,205582282
10,ttas,201173674
10,ttas,205794353
10,ttas,200685489
10,ttas,201302206
10,ttas,199485391
10,ttas,204511485
10,ttas,200716423
10,ttas,199904851
10,ttas,201033456
10,ttas,199558057
10,ttas,199951917
10,ttas,204821212
10,ttas,200940077
10,ttas,199504284
10,ttas,205210904
10,ttas,200094536
10,ttas,201076760
10,ttas,201296701
10,ttas,201034712
10,ttas,200153907
10,ttas,205083114
10,ttas,205481542
